object_id,post_id,ms_space_num,active_meter_flag,reason_code,cap_color,work_order,meter_status,is_active,is_temporary,shape,meter_type_id,street_type_id,location_id,district_id,street_id,route_id,vendor_id,zone_id
180345,576-05050,0,M,-,Grey,,Active,1,0,POINT (-122.390013341 37.772821281),2,1,30174,267,576.0,695,2,45
185334,471-12130,0,M,-,Grey,,Active,1,0,POINT (-122.408862703 37.773357802),2,1,30175,218,471.0,110,2,3
175355,568-26330,0,M,-,Red,,Active,1,0,POINT (-122.418563001 37.7544692),2,1,30176,186,568.0,447,2,6
182621,705-14450,0,U,U6,Grey,,Unmetered,0,0,POINT (-122.421767302 37.796868699),2,1,30177,278,705.0,739,2,28
174801,324-12200,0,M,-,Grey,,Active,1,0,POINT (-122.401779614 37.802639605),2,1,30178,226,324.0,512,2,59
179255,725-01960,0,M,-,Grey,,Active,1,0,POINT (-122.468131101 37.738909599),2,1,30179,8,725.0,307,2,7
181159,658-02390,0,M,-,Yellow,,Active,1,0,POINT (-122.391379902 37.7905037),2,1,30180,281,658.0,845,2,109
185071,373-02005,0,P,-,Grey,,Pay-by-license plate,0,0,POINT (-122.39231 37.773754),3,1,30181,267,373.0,774,4,45
180646,578-07190,0,M,-,Grey,,Active,1,0,POINT (-122.393551525 37.770398555),2,1,30182,267,578.0,695,2,45
180431,546-01230,0,M,-,Grey,,Active,1,0,POINT (-122.414095798 37.782603198),2,1,30183,220,546.0,639,2,5
184693,869-04090,0,M,-,Grey,,Active,1,0,POINT (-122.387114342 37.772874952),2,1,30184,267,869.0,706,2,45
180094,325-03410,0,M,-,Grey,,Active,1,0,POINT (-122.413316902 37.8055818),2,1,30185,264,325.0,210,2,47
177401,470-08650,0,M,-,Grey,,Active,1,0,POINT (-122.404100099 37.7820409),2,1,30186,281,470.0,845,2,40
183900,667-01005,0,P,-,Grey,,Pay-by-license plate,0,0,POINT (-122.418058 37.771791),3,1,30187,218,667.0,856,4,20
179881,324-08240,0,T,U9,Grey,,Temporarily Inactive,0,1,POINT (-122.401075353 37.799114498),2,1,30188,226,324.0,845,2,59
185715,720-03008,0,P,-,Grey,,Pay-by-license plate,0,0,POINT (-122.400198766 37.795974519),3,1,24760,281,720.0,823,4,91
181676,612-03500,50,M,-,Black,,Active,1,0,POINT (-122.418419502 37.780050802),3,1,30189,257,612.0,874,4,25
180854,561-02159,9,M,-,Black,,Active,1,0,POINT (-122.393158698 37.790526499),3,1,30190,281,561.0,913,4,109
177188,446-03020,2,M,-,Grey,,Active,1,0,POINT (-122.421756198 37.778062598),3,1,30191,257,446.0,592,5,51
175561,546-04090,0,M,-,Grey,,Active,1,0,POINT (-122.414580602 37.785011),2,1,30192,220,546.0,639,2,5
176571,563-06220,0,M,-,Grey,,Active,1,0,POINT (-122.422745091 37.779843308),2,1,30193,257,563.0,536,2,67
175044,471-07650,0,M,-,Grey,,Active,1,0,POINT (-122.399047002 37.781108),2,1,30194,267,471.0,693,2,1
185889,664-04005,0,P,-,Yellow,,Pay-by-license plate,0,0,POINT (-122.407162701 37.790078101),3,1,30195,281,,909,4,91
180469,579-00180,0,M,-,Grey,,Active,1,0,POINT (-122.393005711 37.771228618),2,1,30196,267,579.0,695,2,45
183451,830-00310,0,M,-,Grey,,Active,1,0,POINT (-122.394918401 37.795726302),2,1,30197,281,830.0,311,2,91
185862,568-20005,0,P,-,Grey,,Pay-by-license plate,0,0,POINT (-122.419501098 37.7642685),3,1,11298,186,,882,4,6
182299,652-16270,0,M,-,Grey,,Active,1,0,POINT (-122.438209671 37.785056767),2,1,30198,266,652.0,718,3,43
177399,470-08170,0,M,-,Yellow,,Active,1,0,POINT (-122.403142903 37.7827972),2,1,30199,281,470.0,845,2,40
182107,614-19300,0,M,-,Grey,,Active,1,0,POINT (-122.434171797 37.785081698),2,1,30200,276,614.0,345,2,8
182484,419-03280,0,M,-,Grey,,Active,1,0,POINT (-122.421391502 37.7778242),2,1,30201,257,419.0,591,2,51
184458,861-03210,0,M,-,Grey,,Active,1,0,POINT (-122.387521919 37.770728472),2,1,30202,267,861.0,706,3,45
177665,581-13110,0,M,-,Grey,,Active,1,0,POINT (-122.478067998 37.754093802),2,1,30203,72,581.0,434,2,61
175735,210-04400,0,M,-,Grey,,Active,1,0,POINT (-122.410326797 37.770703102),2,1,30204,218,210.0,631,2,3
178984,666-08310,0,M,-,Grey,,Active,1,0,POINT (-122.4147519 37.788383101),2,1,30205,220,666.0,838,2,78
