road_id,road_surface,road_cond_1,road_cond_2,lighting,control_device
93,Wet,No Unusual Condition,Not Stated,Dark - Street Lights Not Functioning,Functioning
94,Wet,No Unusual Condition,Not Stated,Dark - No Street Lights,Functioning
95,Dry,Construction or Repair Zone,Not Stated,Daylight,Not Stated
96,Wet,Not Stated,Not Stated,Daylight,Unknown
97,Wet,Obstruction on Roadway,Not Stated,Dark - Street Lights,Unknown
98,Dry,Not Stated,Not Stated,Dusk - Dawn,Not Stated
99,Wet,"Holes, Deep Ruts",Not Stated,Dusk - Dawn,Unknown
100,Dry,Construction or Repair Zone,Not Stated,Dusk - Dawn,Unknown
101,Dry,No Unusual Condition,Not Stated,Daylight,Obscured
102,Dry,Obstruction on Roadway,Construction or Repair Zone,Daylight,Unknown
103,Not Stated,Not Stated,Not Stated,Not Stated,Functioning
104,Wet,Other,Not Stated,Dark - Street Lights,Functioning
105,Dry,No Unusual Condition,Not Stated,Dusk - Dawn,Not Stated
106,Dry,Loose Material on Roadway,Construction or Repair Zone,Daylight,Unknown
107,Not Stated,Other,Not Stated,Dark - Street Lights,Functioning
108,Dry,Not Stated,Not Stated,Dusk - Dawn,Unknown
109,Dry,Loose Material on Roadway,Not Stated,Daylight,Functioning
110,Wet,No Unusual Condition,Not Stated,Dark - Street Lights,Not Stated
111,Not Stated,Not Stated,Not Stated,Dark - Street Lights,Unknown
112,Slippery,No Unusual Condition,Not Stated,Dark - Street Lights,Unknown
113,Dry,"Holes, Deep Rut",Not Stated,Dusk - Dawn,Functioning
114,Not Stated,Not Stated,Not Stated,Dark - No Street Lights,Unknown
115,Dry,Loose Material on Roadway,Not Stated,Dark - Street Lights,Unknown
116,Not Stated,Other,Not Stated,Not Stated,Unknown
117,Dry,Other,Not Stated,Daylight,Not Stated
118,Dry,Other,No Unusual Condition,Dark - Street Lights,Functioning
119,Wet,Construction or Repair Zone,Not Stated,Daylight,Functioning
120,Dry,Loose Material on Roadway,Construction or Repair Zone,Daylight,Functioning
121,Dry,"Holes, Deep Ruts",Construction or Repair Zone,Dark - Street Lights,Unknown
122,Dry,Construction or Repair Zone,Not Stated,Daylight,Not Functioning
123,Dry,Obstruction on Roadway,Not Stated,Dusk - Dawn,Not Stated
124,Not Stated,"Holes, Deep Ruts",Not Stated,Dark - Street Lights,Unknown
125,Not Stated,Other,Not Stated,Daylight,Functioning
126,Not Stated,Not Stated,Not Stated,Daylight,Not Stated
127,Dry,Construction or Repair Zone,No Unusual Condition,Dark - Street Lights,Unknown
128,Not Stated,Not Stated,Not Stated,Dark - Street Lights,Functioning
129,Slippery,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning
130,Wet,No Unusual Condition,Not Stated,Not Stated,Functioning
131,Not Stated,"Holes, Deep Ruts",No Unusual Condition,Daylight,Unknown
132,Wet,Not Stated,Not Stated,Dark - Street Lights,Unknown
133,Snowy or Icy,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning
134,Not Stated,No Unusual Condition,Not Stated,Dark - Street Lights,Not Functioning
135,Wet,No Unusual Condition,Not Stated,Dark - Street Lights Not Functioning,Unknown
136,Dry,"Holes, Deep Rut",Not Stated,Dusk - Dawn,Unknown
137,Not Stated,No Unusual Condition,Not Stated,Daylight,Not Stated
138,Dry,Obstruction on Roadway,Other,Dark - Street Lights,Unknown
139,Wet,Not Stated,Not Stated,Dark - Street Lights,Not Stated
140,Not Stated,No Unusual Condition,Not Stated,Dusk - Dawn,Functioning
141,Wet,"Holes, Deep Ruts",Not Stated,Daylight,Unknown
142,Slippery,Loose Material on Roadway,Not Stated,Daylight,Unknown
143,Wet,Construction or Repair Zone,Not Stated,Daylight,Unknown
144,Not Stated,Other,Not Stated,Dark - Street Lights,Not Stated
145,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Obscured
146,Dry,Construction or Repair Zone,Reduced Roadway Width,Daylight,Functioning
147,Wet,Not Stated,Not Stated,Dark - No Street Lights,Unknown
148,Dry,Obstruction on Roadway,No Unusual Condition,Dark - Street Lights,Functioning
149,Wet,Not Stated,Not Stated,Daylight,Not Stated
150,Dry,Obstruction on Roadway,Not Stated,Dark - No Street Lights,Unknown
151,Wet,No Unusual Condition,Not Stated,Not Stated,Not Stated
152,Dry,Loose Material on Roadway,Construction or Repair Zone,Dark - Street Lights,Unknown
153,Slippery,No Unusual Condition,Not Stated,Daylight,Unknown
154,Wet,Obstruction on Roadway,Not Stated,Daylight,Functioning
155,Dry,No Unusual Condition,Not Stated,Dark - No Street Lights,Not Stated
156,Wet,Not Stated,Not Stated,Dark - Street Lights Not Functioning,Functioning
157,Wet,Reduced Roadway Width,Not Stated,Dark - Street Lights,Functioning
158,Dry,"Holes, Deep Ruts",Not Stated,Not Stated,Unknown
159,Dry,"Holes, Deep Ruts",Not Stated,Dusk - Dawn,Functioning
160,Not Stated,No Unusual Condition,Not Stated,Dark - No Street Lights,Functioning
161,Dry,Reduced Roadway Width,Not Stated,Daylight,Unknown
162,Wet,Flooded,Not Stated,Dark - Street Lights,Unknown
163,Dry,Not Stated,Not Stated,Not Stated,Functioning
164,Dry,Other,Not Stated,Dark - No Street Lights,Unknown
165,Dry,Obstruction on Roadway,Not Stated,Dark - Street Lights,Functioning
166,Wet,No Unusual Condition,Not Stated,Dusk - Dawn,Not Stated
167,Not Stated,Construction or Repair Zone,Not Stated,Daylight,Functioning
168,Wet,Flooded,Not Stated,Daylight,Unknown
169,Dry,Flooded,Not Stated,Dark - Street Lights,Unknown
170,Not Stated,No Unusual Condition,Not Stated,Dusk - Dawn,Unknown
171,Wet,Obstruction on Roadway,Not Stated,Dark - Street Lights,Functioning
172,Wet,Loose Material on Roadway,Not Stated,Daylight,Unknown
173,Wet,"Holes, Deep Ruts",Not Stated,Daylight,Functioning
174,Wet,Reduced Roadway Width,Not Stated,Daylight,Unknown
175,Dry,Other,Not Stated,Not Stated,Functioning
176,Not Stated,No Unusual Condition,Not Stated,Not Stated,Unknown
177,Wet,Loose Material on Roadway,Other,Dark - Street Lights,Unknown
178,Wet,"Holes, Deep Ruts",Loose Material on Roadway,Dark - Street Lights,Unknown
179,Wet,"Holes, Deep Ruts",Not Stated,Dusk - Dawn,Functioning
180,Not Stated,No Unusual Condition,Not Stated,Dark - No Street Lights,Unknown
181,Wet,Not Stated,Not Stated,Dark - No Street Lights,Functioning
182,Wet,Flooded,Not Stated,Dusk - Dawn,Unknown
183,Not Stated,Construction or Repair Zone,Not Stated,Dark - Street Lights,Functioning
184,Dry,Construction or Repair Zone,Not Stated,Daylight,Obscured
185,Snowy or Icy,No Unusual Condition,Not Stated,Daylight,Functioning
186,Wet,Loose Material on Roadway,Flooded,Daylight,Functioning
187,Not Stated,No Unusual Condition,Not Stated,Not Stated,Not Stated
188,Wet,Loose Material on Roadway,Not Stated,Dark - Street Lights,Unknown
189,Dry,Loose Material on Roadway,Not Stated,Dark - Street Lights,Functioning
190,Wet,Not Stated,Not Stated,Dark - Street Lights Not Functioning,Unknown
191,Wet,Other,Not Stated,Daylight,Not Functioning
192,Not Stated,"Holes, Deep Ruts",Not Stated,Dark - Street Lights,Not Stated
193,Snowy or Icy,No Unusual Condition,Not Stated,Dark - Street Lights,Unknown
194,Slippery,Flooded,Not Stated,Daylight,Unknown
195,Not Stated,"Holes, Deep Ruts",Not Stated,Daylight,Not Stated
196,Dry,Other,Not Stated,Dusk - Dawn,Unknown
197,Not Stated,Other,Not Stated,Dusk - Dawn,Unknown
198,Dry,Reduced Roadway Width,Not Stated,Dark - Street Lights,Unknown
199,Dry,Other,Not Stated,Daylight,Not Functioning
200,Dry,Loose Material on Roadway,No Unusual Condition,Dark - Street Lights,Functioning
201,Snowy or Icy,No Unusual Condition,Not Stated,Daylight,Unknown
