party_id,party_at_fault,party1_type,party1_dir_of_travel,party1_move_pre_acc,party2_type,party2_dir_of_travel,party2_move_pre_acc,type_of_collision,involves_pedestrian,involves_bicycle,involves_motorcycle,involves_vehicle,ped_action,point,mviw
12128,1.0,Driver,East,Making Left Turn,Driver,West,Proceeding Straight,Head-On,0,0,0,1,No Pedestrian Involved,POINT (-122.428905309 37.78953374),Other Motor Vehicle
12129,1.0,Driver,East,Changing Lanes,Driver,East,Proceeding Straight,Sideswipe,0,0,0,1,No Pedestrian Involved,POINT (-122.425057305 37.795526578),Other Motor Vehicle
12130,1.0,Driver,North,Proceeding Straight,Driver,North,Stopped In Road,Rear End,0,0,0,1,No Pedestrian Involved,POINT (-122.419171451 37.746697729),Other Motor Vehicle
12131,1.0,Driver,North,Proceeding Straight,Driver,North,Making Right Turn,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.424136499 37.774824795),Other Motor Vehicle
12132,1.0,Driver,North,Proceeding Straight,Driver,West,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.419693566 37.777299856),Other Motor Vehicle
12133,1.0,Pedestrian,North,Other,Driver,East,Proceeding Straight,Vehicle/Pedestrian,1,0,0,1,Crossing Not in Crosswalk,POINT (-122.412220736 37.782073068),Pedestrian
12134,1.0,Driver,North,Proceeding Straight,Driver,West,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.412050309 37.761643047),Other Motor Vehicle
12135,1.0,Driver,North,Proceeding Straight,Other,West,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.432914248 37.784355057),Other Motor Vehicle
12136,1.0,Driver,East,Proceeding Straight,Driver,North,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.428148187 37.785784489),Other Motor Vehicle
12137,1.0,Driver,North,Proceeding Straight,Driver,North,Stopped In Road,Rear End,0,0,0,1,No Pedestrian Involved,POINT (-122.405522691 37.742823921),Other Motor Vehicle
12138,1.0,Bicyclist,West,Traveling Wrong Way,Driver,South,Proceeding Straight,Broadside,0,1,0,1,No Pedestrian Involved,POINT (-122.415505179 37.781654262),Bicycle
12139,1.0,Driver,West,Making U Turn,Bicyclist,East,Proceeding Straight,Broadside,0,1,0,1,No Pedestrian Involved,POINT (-122.421442966 37.744807814),Bicycle
12140,1.0,Driver,South,Making Left Turn,Driver,East,Proceeding Straight,Sideswipe,0,0,0,1,No Pedestrian Involved,POINT (-122.405585295 37.765900401),Other Motor Vehicle
12141,1.0,Driver,North,Proceeding Straight,Driver,West,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.40107413 37.721534399),Other Motor Vehicle
12142,1.0,Driver,West,Proceeding Straight,Driver,South,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.397608333 37.793508604),Other Motor Vehicle
12143,1.0,Bicyclist,South,Passing Other Vehicle,Driver,South,Slowing/Stopping,Sideswipe,0,1,0,1,No Pedestrian Involved,POINT (-122.427417183 37.782159702),Bicycle
12144,1.0,Driver,West,Making Left Turn,Driver,West,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.440442348 37.773697034),Other Motor Vehicle
12145,1.0,Driver,North,Making Left Turn,Driver,South,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.405901461 37.732949415),Other Motor Vehicle
12146,1.0,Driver,East,Changing Lanes,Driver,East,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,,Other Motor Vehicle
12147,1.0,Driver,West,Making Left Turn,Bicyclist,East,Proceeding Straight,Other,0,1,0,1,No Pedestrian Involved,POINT (-122.418135252 37.749041287),Bicycle
12148,1.0,Other,West,Proceeding Straight,Driver,West,Making Right Turn,Sideswipe,0,0,0,1,No Pedestrian Involved,POINT (-122.416912979 37.774476617),Other Motor Vehicle
12149,1.0,Driver,East,Proceeding Straight,Driver,South,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.500857016 37.764845907),Other Motor Vehicle
