location_id,tb_latitude,tb_longitude,police_district
1,37.7731534568,-122.43726570799998,PARK
2,37.76937557045744,-122.43050685747428,NORTHERN
3,37.717965024842925,-122.49927985517324,TARAVAL
4,37.75817449773788,-122.4766246505086,TARAVAL
5,37.77624821069328,-122.4856257008845,RICHMOND
6,37.76863557736037,-122.45485837763574,PARK
7,37.777521687034735,-122.40996275541372,SOUTHERN
8,37.7992155522,-122.44440469600002,NORTHERN
9,37.77967358609999,-122.423541307,NORTHERN
10,37.77470034928764,-122.44007385772936,PARK
11,37.75853823835954,-122.46378021841068,PARK
12,37.7300371958,-122.404592616,BAYVIEW
13,37.76156567344518,-122.42380067124309,MISSION
14,37.77670768754834,-122.41410689621488,SOUTHERN
15,37.77281582081572,-122.41902493887235,SOUTHERN
16,37.76485143713142,-122.42297773761888,MISSION
17,37.8030408448,-122.41415007199998,CENTRAL
18,37.76111782701032,-122.41929052629172,MISSION
19,37.789571918586006,-122.38848118700912,SOUTHERN
20,37.77146441249074,-122.43549187112696,PARK
21,37.711891548969135,-122.41591874306542,INGLESIDE
22,37.767889374241086,-122.39673397028936,BAYVIEW
23,37.7398250578,-122.423618167,INGLESIDE
24,37.7573355575,-122.388164094,BAYVIEW
25,37.7657832994918,-122.4075342296065,MISSION
26,37.76577306667624,-122.41973849151442,MISSION
27,37.76464568819048,-122.42638170802245,MISSION
28,37.801234573,-122.399610254,CENTRAL
29,37.72296657170385,-122.44474662404416,INGLESIDE
30,37.78594719739999,-122.41215861899998,TENDERLOIN
31,37.773532376399984,-122.416104162,SOUTHERN
32,37.77303605095424,-122.42194124753816,SOUTHERN
33,37.7685291074143,-122.40490275778896,SOUTHERN
34,37.7779192955543,-122.42984919962925,NORTHERN
35,37.80476321255513,-122.40517353698988,CENTRAL
36,37.727793597,-122.474691813,TARAVAL
37,37.712725820650576,-122.40051983045936,BAYVIEW
38,37.735890354453566,-122.50617094333532,TARAVAL
39,37.74300263291343,-122.47676460018292,TARAVAL
40,37.73355034353191,-122.4341445372794,INGLESIDE
41,37.765188632635365,-122.39580677747122,BAYVIEW
42,37.77252626982992,-122.40696829007918,SOUTHERN
43,37.781447494706256,-122.41714561205514,NORTHERN
44,37.7787709312899,-122.4104196800195,SOUTHERN
45,37.785743989855305,-122.4058310112514,SOUTHERN
46,37.76484394148488,-122.42187941274364,MISSION
47,37.772655262114085,-122.42250815131278,SOUTHERN
48,37.73537889408541,-122.50417967078148,TARAVAL
49,37.77637553552117,-122.4194525837816,NORTHERN
50,37.78223057450262,-122.410292026986,SOUTHERN
51,37.78223394690304,-122.44167163782603,PARK
